Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/ffmpeg-api/images-to-video,Utility,,image-to-video,,billed per GPU compute-second (varies with runtime),,derived from input images / fps,fixed,inherits input image,No,No,No,No — single shot,generate,No,Deterministic and nearly free — exactly what you want for stitching or interpolation.,Not generative at all; no creative control.,"Slideshow assembly, frame interpolation, probing media metadata inside pipelines.",Generation of any kind.
veed/avatars/text-to-video,VEED,Veed,text-to-video,0.35,$0.35/min,,follows script length,fixed,fixed,No,No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/fabric-1.0,VEED,Veed,image-to-video,4.8,$0.08/s @720p x 60s,,follows input audio,"720p, 480p",inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/fabric-1.0/fast,VEED,Veed,image-to-video,6.0,$0.10/s @720p x 60s,,follows input audio,"720p, 480p",inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/fabric-1.0/text,VEED,Veed,text-to-video,4.8,$0.08/s @720p x 60s,,follows script length,"720p, 480p",fixed,No,Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/lipsync,VEED,Veed,video-to-video,0.4,$0.4/min,,fixed / not exposed,fixed,fixed,Input only (drives lipsync),No,No,No — single shot,lipsync,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/lipsync/v2,VEED,Veed,video-to-video,4.2,$0.07/s x 60s,,fixed / not exposed,fixed,fixed,Input only (drives lipsync),No,No,No — single shot,lipsync,Yes — dedicated lipsync/avatar model,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/subtitles,VEED,Veed,video-to-video,0.1,$0.10/min,,fixed / not exposed,1080p (from docs),fixed,No,No,No,No — single shot,utility,No,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/video-background-removal,VEED,Veed,video-to-video,1.35,$0.0225 per 30 frames x 1800 frames/min @30fps,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/video-background-removal/fast,VEED,Veed,video-to-video,0.72,$0.012 per 30 frames x 1800 frames/min @30fps,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
veed/video-background-removal/green-screen,VEED,Veed,video-to-video,1.5,$0.025 per 30 frames x 1800 frames/min @30fps,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,Fabric 1.0 turns a single photo into a talking presenter at $0.35/minute — the cheapest talking-head on the platform.,Head-and-shoulders framing only; limited expressiveness; no scene generation.,"Cheapest talking-photo presenter clips at scale, UGC-flavored spokes-content.","Full-scene creative, expressive physical performance."
fal-ai/veo3.1,Veo 3.1,Google,text-to-video,12.0,$0.2/s @720p no-audio x 60s; audio-on $24.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/extend-video,Veo 3.1,Google,video-to-video,12.0,$0.2/s audio-off x 60s; audio-on $24.00/min,168,fixed 7s,"1080p, 720p (from docs)","auto, 16:9, 9:16",Yes — native generation,No,No,No — single shot,extend,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/fast,Veo 3.1,Google,text-to-video,6.0,$0.1/s @720p no-audio x 60s; audio-on $9.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/fast/extend-video,Veo 3.1,Google,video-to-video,6.0,$0.1/s audio-off x 60s; audio-on $9.00/min,168,fixed 7s,"1080p, 720p (from docs)","auto, 16:9, 9:16",Yes — native generation,No,No,No — single shot,extend,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/fast/first-last-frame-to-video,Veo 3.1,Google,image-to-video,6.0,$0.1/s @720p no-audio x 60s; audio-on $9.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/fast/image-to-video,Veo 3.1,Google,image-to-video,6.0,$0.1/s @720p no-audio x 60s; audio-on $9.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","auto, 16:9, 9:16",Yes — native generation,Yes,No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/fast/reference-to-video,Veo 3.1,,image-to-video,6.0,$0.1/s audio-off x 60s; audio-on $9.00/min,192,fixed 8s,"720p, 1080p, 4k","16:9, 9:16",Yes — native generation,Yes (multi-image / reference),No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/first-last-frame-to-video,Veo 3.1,Google,image-to-video,12.0,$0.2/s @720p no-audio x 60s; audio-on $24.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/image-to-video,Veo 3.1,Google,image-to-video,12.0,$0.2/s @720p no-audio x 60s; audio-on $24.00/min,192,"4s, 6s, 8s","720p, 1080p, 4k","auto, 16:9, 9:16",Yes — native generation,Yes,No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/lite,Veo 3.1,Google,text-to-video,3.0,$0.05/s x 60s,192,"4s, 6s, 8s","720p, 1080p","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/lite/first-last-frame-to-video,Veo 3.1,Google,image-to-video,3.0,$0.05/s x 60s,192,fixed 8s,"720p, 1080p","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,Yes — dialogue via prompt (native audio),Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/lite/image-to-video,Veo 3.1,Google,image-to-video,3.0,$0.05/s x 60s,192,"4s, 6s, 8s","720p, 1080p","auto, 16:9, 9:16",Yes — native generation,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
fal-ai/veo3.1/reference-to-video,Veo 3.1,Google,image-to-video,12.0,$0.2/s @720p no-audio x 60s; audio-on $24.00/min,192,fixed 8s,"720p, 1080p, 4k","16:9, 9:16",Yes — native generation,Yes (multi-image / reference),No,No — single shot,generate,No,Best-in-class prompt adherence and native dialogue+SFX audio; 4K tier; reference-to-video and first/last-frame variants all share one quality bar.,"Only 16:9 and 9:16, hard 8s ceiling, no multi-shot, and the most expensive per-second tier once audio is on. Heavy content filtering rejects many prompts.","Dialogue-led ads and UGC-style spots, cinematic hero shots with sound, music-video beats, storyboard-to-pitch reels — anywhere one gorgeous take with audio closes the brief.","Exact logos or on-screen type, characters that must survive many shots, 21:9/1:1 deliverables, high-volume iteration on a tight budget."
bria/bria_video_eraser/erase/keypoints,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/bria_video_eraser/erase/mask,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/bria_video_eraser/erase/prompt,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/background-removal,Video background/erase,Bria AI,video-to-video,0.25,$0.0042/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/background-removal/realtime,Video background/erase,Bria AI,video-to-video,0.25,$0.0042/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/background-removal/v3,Video background/erase,Bria AI,video-to-video,0.25,$0.0042/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/erase/keypoints,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/erase/mask,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/erase/prompt,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
bria/video/increase-resolution,Video background/erase,Bria AI,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,upscale/restore,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
fal-ai/birefnet/v2/video,Video background/erase,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,"low, medium, high, maximum",fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
pixelcut/video-background-removal,Video background/erase,Pixelcut,video-to-video,1.32,$0.022 per 30 frames x 1800 frames/min @30fps,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,"Dedicated matting and object erasure (Bria VRMBG 3.0, BEN v2, VEED, Pixelcut) tuned for clean temporal edges on talking heads and product footage.",Struggles with hair detail and motion blur; erase quality drops on complex occlusion.,"Green-screen replacement without a green screen, podcast and product compositing, removing objects from delivered footage.","Creative generation, scene-level edits."
fal-ai/depth-anything-video,Video preprocessors,,video-to-video,2.4,$0.04/s x 60s,,fixed / not exposed,"auto, 360p, 480p, 720p, 1080p",fixed,No,No,No,No — single shot,analysis/masking,No,"Depth, pose and structure extraction across frames with temporal consistency (Video Depth Anything, DWPose).",Control maps only — output feeds another model.,"Driving VACE/ControlNet pipelines, 3D and AR prep.",Standalone use.
fal-ai/dwpose/video,Video preprocessors,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,analysis/masking,No,"Depth, pose and structure extraction across frames with temporal consistency (Video Depth Anything, DWPose).",Control maps only — output feeds another model.,"Driving VACE/ControlNet pipelines, 3D and AR prep.",Standalone use.
fal-ai/scail-2,Video preprocessors,z AI,video-to-video,12.0,$0.20/s x 60s,,fixed / not exposed,"512p, 704p",fixed,No,Yes,No,No — single shot,analysis/masking,No,"Depth, pose and structure extraction across frames with temporal consistency (Video Depth Anything, DWPose).",Control maps only — output feeds another model.,"Driving VACE/ControlNet pipelines, 3D and AR prep.",Standalone use.
clarityai/crystal-video-upscaler,Video upscalers,Clarity AI,video-to-video,5.53,$0.1/MP/s x 0.9216 MP x 60s (<=30fps tier),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,upscale/restore,No,"Cheaper temporal-consistent super-resolution (SeedVR2, FlashVSR, ByteDance, Clarity) at a fraction of Topaz's rate.",Less model choice and less control than Topaz; can soften fine texture.,"Bulk upscaling of AI output, social-delivery resolution bumps.","Archival film restoration, HDR mastering."
fal-ai/bytedance-upscaler/upscale/video,Video upscalers,Bytedance,video-to-video,0.43,$0.0072/s @1080p x 60s (1080p is the floor tier),,fixed / not exposed,"1080p, 2k, 4k (from docs)",fixed,No,No,No,No — single shot,upscale/restore,No,"Cheaper temporal-consistent super-resolution (SeedVR2, FlashVSR, ByteDance, Clarity) at a fraction of Topaz's rate.",Less model choice and less control than Topaz; can soften fine texture.,"Bulk upscaling of AI output, social-delivery resolution bumps.","Archival film restoration, HDR mastering."
fal-ai/flashvsr/upscale/video,Video upscalers,,video-to-video,0.66,$0.0005/MP x 0.9216 MP/frame x 24fps x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,upscale/restore,No,"Cheaper temporal-consistent super-resolution (SeedVR2, FlashVSR, ByteDance, Clarity) at a fraction of Topaz's rate.",Less model choice and less control than Topaz; can soften fine texture.,"Bulk upscaling of AI output, social-delivery resolution bumps.","Archival film restoration, HDR mastering."
fal-ai/seedvr/upscale/video,Video upscalers,SeedVR,video-to-video,1.33,$0.001/MP x 0.9216 MP/frame x 24fps x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,upscale/restore,No,"Cheaper temporal-consistent super-resolution (SeedVR2, FlashVSR, ByteDance, Clarity) at a fraction of Topaz's rate.",Less model choice and less control than Topaz; can soften fine texture.,"Bulk upscaling of AI output, social-delivery resolution bumps.","Archival film restoration, HDR mastering."
fal-ai/video-upscaler,Video upscalers,,video-to-video,1.06,$0.0008/MP x 0.9216 MP/frame x 24fps x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,upscale/restore,No,"Cheaper temporal-consistent super-resolution (SeedVR2, FlashVSR, ByteDance, Clarity) at a fraction of Topaz's rate.",Less model choice and less control than Topaz; can soften fine texture.,"Bulk upscaling of AI output, social-delivery resolution bumps.","Archival film restoration, HDR mastering."
fal-ai/auto-caption,Video utilities,,video-to-video,0.1,$0.1 per 60s video -> x60,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,video→audio,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/ffmpeg-api/compose,Video utilities,,video-to-video,0.01,$0.0002/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/ffmpeg-api/merge-audio-video,Video utilities,,video-to-video,0.01,$0.0002/s x 60s,,fixed / not exposed,fixed,fixed,Input only (drives lipsync),No,No,No — single shot,video→audio,"Partial — audio input, no explicit lipsync claim","Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/ffmpeg-api/merge-videos,Video utilities,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/workflow-utilities/auto-subtitle,Video utilities,,video-to-video,0.03,$0.03/min,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/workflow-utilities/blend-video,Video utilities,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/workflow-utilities/reverse-video,Video utilities,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/workflow-utilities/scale-video,Video utilities,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,free width/height,free (width/height),No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/workflow-utilities/trim-video,Video utilities,,video-to-video,,billed per GPU compute-second (varies with runtime),48,fixed 2,fixed,fixed,No,No,No,No — single shot,utility,No,"Deterministic ffmpeg-grade operations — merge, trim, reverse, scale, blend, compose, auto-subtitle.",Not generative; no creative control.,"Pipeline glue around generation steps, deliverable assembly.",Content creation.
fal-ai/vidu/image-to-video,Vidu 1.x,Vidu,image-to-video,3.0,$0.2 per 4s -> x60,64,4 s (fixed),fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Cheapest reference-to-video and start-end-to-video on the platform; template mode gives one-click trends.,"4s fixed, low resolution, visibly dated motion.","Cheapest reference and start-end experiments, template trend clips.",2026 quality bars.
fal-ai/vidu/reference-to-video,Vidu 1.x,Vidu,image-to-video,6.0,$0.4 per 4s -> x60,64,4 s (fixed),fixed,"16:9, 9:16, 1:1",No,No,No,No — single shot,generate,No,Cheapest reference-to-video and start-end-to-video on the platform; template mode gives one-click trends.,"4s fixed, low resolution, visibly dated motion.","Cheapest reference and start-end experiments, template trend clips.",2026 quality bars.
